"COLAPS_FEC_INICIO","n","n_per_capita"
"2008-01-29",1,1.7075557978008048e-7
"2009-01-26",1,1.7075557978008048e-7
"2010-01-04",1,1.7075557978008048e-7
"2012-11-03",1,1.7075557978008048e-7
"2012-11-29",1,1.7075557978008048e-7
"2012-12-19",1,1.7075557978008048e-7
"2014-06-14",1,1.7075557978008048e-7
"2015-02-06",1,1.7075557978008048e-7
"2015-04-13",1,1.7075557978008048e-7
"2015-07-08",1,1.7075557978008048e-7
"2016-06-30",1,1.7075557978008048e-7
"2016-07-08",1,1.7075557978008048e-7
"2017-11-29",1,1.7075557978008048e-7
"2018-03-16",1,1.7075557978008048e-7
"2018-12-21",1,1.7075557978008048e-7
"2019-01-07",1,1.7075557978008048e-7
"2019-01-18",1,1.7075557978008048e-7
"2019-01-26",1,1.7075557978008048e-7
"2019-01-28",1,1.7075557978008048e-7
"2019-01-31",1,1.7075557978008048e-7
"2019-02-24",1,1.7075557978008048e-7
"2019-03-04",1,1.7075557978008048e-7
"2019-03-08",1,1.7075557978008048e-7
"2019-03-25",1,1.7075557978008048e-7
"2019-04-08",1,1.7075557978008048e-7
"2019-04-25",1,1.7075557978008048e-7
"2019-06-27",1,1.7075557978008048e-7
"2019-08-09",1,1.7075557978008048e-7
"2019-08-13",1,1.7075557978008048e-7
"2019-08-21",1,1.7075557978008048e-7
"2019-09-09",1,1.7075557978008048e-7
"2019-09-24",1,1.7075557978008048e-7
"2019-10-01",2,3.4151115956016095e-7
"2019-10-07",1,1.7075557978008048e-7
"2019-10-08",1,1.7075557978008048e-7
"2019-10-11",2,3.4151115956016095e-7
"2019-10-17",1,1.7075557978008048e-7
"2019-10-18",1,1.7075557978008048e-7
"2019-10-21",1,1.7075557978008048e-7
"2019-10-22",1,1.7075557978008048e-7
"2019-10-30",1,1.7075557978008048e-7
"2019-11-01",1,1.7075557978008048e-7
"2019-11-04",1,1.7075557978008048e-7
"2019-11-10",1,1.7075557978008048e-7
"2019-11-11",1,1.7075557978008048e-7
"2019-11-12",1,1.7075557978008048e-7
"2019-11-15",2,3.4151115956016095e-7
"2019-11-19",1,1.7075557978008048e-7
"2019-11-22",1,1.7075557978008048e-7
"2019-11-25",1,1.7075557978008048e-7
"2019-11-29",2,3.4151115956016095e-7
"2019-12-02",2,3.4151115956016095e-7
"2019-12-03",2,3.4151115956016095e-7
"2019-12-04",1,1.7075557978008048e-7
"2019-12-05",3,5.122667393402414e-7
"2019-12-06",1,1.7075557978008048e-7
"2019-12-08",1,1.7075557978008048e-7
"2019-12-09",2,3.4151115956016095e-7
"2019-12-10",7,1.1952890584605633e-6
"2019-12-11",2,3.4151115956016095e-7
"2019-12-12",1,1.7075557978008048e-7
"2019-12-13",4,6.830223191203219e-7
"2019-12-14",3,5.122667393402414e-7
"2019-12-16",9,1.5368002180207243e-6
"2019-12-17",3,5.122667393402414e-7
"2019-12-18",8,1.3660446382406438e-6
"2019-12-19",8,1.3660446382406438e-6
"2019-12-20",5,8.537778989004023e-7
"2019-12-21",5,8.537778989004023e-7
"2019-12-22",2,3.4151115956016095e-7
"2019-12-23",14,2.3905781169211266e-6
"2019-12-24",11,1.8783113775808852e-6
"2019-12-25",7,1.1952890584605633e-6
"2019-12-26",62,1.0586845946364989e-5
"2019-12-27",283,4.8323829077762774e-5
"2019-12-28",113,1.9295380515149094e-5
"2019-12-29",84,1.434346870152676e-5
"2019-12-30",643,1.0979583779859175e-4
"2019-12-31",282,4.8153073497982695e-5
"2020-01-01",35,5.9764452923028164e-6
"2020-01-02",805,1.3745824172296478e-4
"2020-01-03",621,1.0603921504342997e-4
"2020-01-04",90,1.5368002180207243e-5
"2020-01-05",59,1.0074579207024748e-5
"2020-01-06",775,1.3233557432956237e-4
"2020-01-07",680,1.1611379425045472e-4
"2020-01-08",607,1.0364863692650884e-4
"2020-01-09",553,9.44278356183845e-5
"2020-01-10",474,8.093814481575814e-5
"2020-01-11",71,1.2123646164385713e-5
"2020-01-12",55,9.391556887904426e-6
"2020-01-13",692,1.1816286120781568e-4
"2020-01-14",555,9.476934677794466e-5
"2020-01-15",466,7.95721001775175e-5
"2020-01-16",399,6.813147633225211e-5
"2020-01-17",360,6.147200872082897e-5
"2020-01-18",53,9.050045728344264e-6
"2020-01-19",49,8.367023409223944e-6
"2020-01-20",531,9.067121286322273e-5
"2020-01-21",426,7.274187698631428e-5
"2020-01-22",464,7.923058901795735e-5
"2020-01-23",426,7.274187698631428e-5
"2020-01-24",369,6.3008808938849693e-05
"2020-01-25",49,8.367023409223944e-6
"2020-01-26",35,5.9764452923028164e-6
"2020-01-27",499,8.520703431026016e-5
"2020-01-28",413,7.052205444917324e-5
"2020-01-29",401,6.847298749181227e-5
"2020-01-30",362,6.181351988038913e-5
"2020-01-31",309,5.2763474152044866e-5
"2020-02-01",60,1.0245334786804828e-5
"2020-02-02",40,6.830223191203219e-6
"2020-02-03",46,7.854756669883702e-6
"2020-02-04",462,7.888907785839718e-5
"2020-02-05",447,7.632774416169597e-5
"2020-02-06",391,6.676543169401146e-5
"2020-02-07",366,6.249654219950946e-5
"2020-02-08",73,1.2465157323945875e-5
"2020-02-09",36,6.147200872082897e-6
"2020-02-10",499,8.520703431026016e-5
"2020-02-11",444,7.581547742235574e-5
"2020-02-12",327,5.583707458808631e-5
"2020-02-13",314,5.361725205094527e-5
"2020-02-14",255,4.3542672843920524e-5
"2020-02-15",37,6.3179564518629775e-6
"2020-02-16",34,5.805689712522736e-6
"2020-02-17",418,7.137583234807364e-5
"2020-02-18",363,6.198427546016921e-5
"2020-02-19",376,6.420409799731026e-5
"2020-02-20",322,5.498329668918591e-5
