"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2421,0.3941,0,"1","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.1413,0.2914,0,"2","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.1836,0.2924,0,"3","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.104,0.2148,0,"4","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0194,0.061,0,"1","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0353,0.0963,0,"2","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.026,0.0694,0,"3","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0433,0.1055,0,"4","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2421,0.3941,0,"1","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.1413,0.2914,0,"2","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.1836,0.2924,0,"3","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.104,0.2148,0,"4","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0194,0.061,0,"1","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0353,0.0963,0,"2","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.026,0.0694,0,"3","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0433,0.1055,0,"4","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2799,0.3681,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2265,0.3243,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3785,0.4543,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3613,0.454,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(ITT)",0.95,0.1002,0.161,0,"1","Unadjusted","ITT","general"
"P(ITT)",0.95,0.0767,0.1395,0,"2","Unadjusted","ITT","general"
"P(ITT)",0.95,0.1004,0.1519,0,"3","Unadjusted","ITT","general"
"P(ITT)",0.95,0.0796,0.1381,0,"4","Unadjusted","ITT","general"
"P(ITT)",0.95,0.1002,0.161,0,"1","Adjusted","ITT","general"
"P(ITT)",0.95,0.0767,0.1395,0,"2","Adjusted","ITT","general"
"P(ITT)",0.95,0.1004,0.1519,0,"3","Adjusted","ITT","general"
"P(ITT)",0.95,0.0796,0.1381,0,"4","Adjusted","ITT","general"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6814,0.8858,1,"1","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.3869,0.6956,1,"2","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.67,0.8595,1,"3","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.4535,0.7345,1,"4","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.054,0.1436,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.1129,0.2314,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.0972,0.2228,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.1777,0.3669,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6814,0.8858,1,"1","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.3869,0.6956,1,"2","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.67,0.8595,1,"3","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.4535,0.7345,1,"4","Adjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.054,0.1436,0,"1","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.1129,0.2314,0,"2","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.0972,0.2228,0,"3","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|¬ ITT)",0.95,0.1777,0.3669,0,"4","Adjusted","Tuvo Enfermedad Respiratoria","dado que no tuvo ITT"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.7201,0.6319,1,"1","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.7735,0.6757,1,"2","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.6215,0.5457,1,"3","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria)",0.95,0.6387,0.546,1,"4","Unadjusted","No tuvo Enfermedad Respiratoria","general"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.3186,0.1142,0,"1","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.6131,0.3044,0,"2","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(No tuvo Enfermedad Respiratoria|ITT)",0.95,0.33,0.1405,0,"3","Unadjusted","No tuvo Enfermedad Respiratoria","dado que tuvo ITT"
