"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.5455,0.7963,1,"1","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.4346,0.7994,1,"2","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.444,0.673,1,"3","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.7689,0.9643,1,"4","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.2108,0.2924,0,"1","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.2068,0.3045,0,"2","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1832,0.2514,0,"3","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9509,0.9783,1,"4","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.5101,0.7929,1,"1","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.3871,0.7983,1,"2","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.3958,0.6539,1,"3","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.762,0.9823,1,"4","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1328,0.2248,0,"1","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1302,0.2403,0,"2","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1017,0.1786,0,"3","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9672,0.998,1,"4","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0776,0.1343,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0405,0.0873,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0761,0.1195,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(Tuvo Enfermedad Respiratoria e ITT)",0.95,0.0451,0.0948,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","general"
"P(IgG)",0.95,0.2552,0.3349,0,"1","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2312,0.328,0,"2","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2155,0.2844,0,"3","Unadjusted","IgG","general"
"P(IgG)",0.95,0.9425,0.9743,1,"4","Unadjusted","IgG","general"
"P(IgG)",0.95,0.1829,0.2727,0,"1","Adjusted","IgG","general"
"P(IgG)",0.95,0.1577,0.2668,0,"2","Adjusted","IgG","general"
"P(IgG)",0.95,0.1381,0.2158,0,"3","Adjusted","IgG","general"
"P(IgG)",0.95,0.9578,0.9936,1,"4","Adjusted","IgG","general"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1751,0.3145,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.0785,0.206,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1611,0.2796,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.0416,0.0898,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0676,0.1093,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0382,0.0777,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0677,0.1014,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0457,0.096,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1751,0.3145,0,"1","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.0785,0.206,0,"2","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.1611,0.2796,0,"3","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|IgG)",0.95,0.0416,0.0898,0,"4","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0676,0.1093,0,"1","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0382,0.0777,0,"2","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0677,0.1014,0,"3","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(Tuvo Enfermedad Respiratoria e ITT|¬ IgG)",0.95,0.0457,0.096,0,"4","Adjusted","Tuvo Enfermedad Respiratoria e ITT","dado que no tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9224,0.8657,1,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9595,0.9127,1,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9239,0.8805,1,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9549,0.9052,1,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","general"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8249,0.6855,1,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.9215,0.794,1,"2","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.8389,0.7204,1,"3","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|IgG)",0.95,0.9584,0.9102,1,"4","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que tuvo IgG"
"P(No Tuvo Enfermedad Respiratoria ni ITT|¬ IgG)",0.95,0.9324,0.8907,1,"1","Unadjusted","No Tuvo Enfermedad Respiratoria ni ITT","dado que no tuvo IgG"
