"variable","CI","CI_low","CI_high","median","Ciclo","workcenter"
"Adjusted prevalence",0.95,0.0467,0.2771,0,1,"Centro de ventas"
"Adjusted prevalence",0.95,0.1499,0.26,0,1,"Planta de producción"
"Adjusted prevalence",0.95,0.2184,0.3666,0,1,"Centro de Distribución"
"Adjusted prevalence",0.95,0.0229,0.9677,1,2,"Centro de ventas"
"Adjusted prevalence",0.95,0.1493,0.2448,0,2,"Planta de producción"
"Adjusted prevalence",0.95,0.1406,0.3895,0,2,"Centro de Distribución"
"Adjusted prevalence",0.95,0.0856,0.3051,0,3,"Centro de ventas"
"Adjusted prevalence",0.95,0.1412,0.2201,0,3,"Planta de producción"
"Adjusted prevalence",0.95,0.1128,0.2334,0,3,"Centro de Distribución"
"Adjusted prevalence",0.95,0.1746,1,1,4,"Centro de ventas"
"Adjusted prevalence",0.95,0.9923,1,1,4,"Planta de producción"
"Adjusted prevalence",0.95,0.9774,1,1,4,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.1344,0.3388,0,1,"Centro de ventas"
"Unadjusted prevalence",0.95,0.226,0.3236,0,1,"Planta de producción"
"Unadjusted prevalence",0.95,0.2867,0.4181,0,1,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.1133,0.9514,1,2,"Centro de ventas"
"Unadjusted prevalence",0.95,0.2255,0.3102,0,2,"Planta de producción"
"Unadjusted prevalence",0.95,0.2177,0.4384,0,2,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.169,0.3636,0,3,"Centro de ventas"
"Unadjusted prevalence",0.95,0.2182,0.2882,0,3,"Planta de producción"
"Unadjusted prevalence",0.95,0.1931,0.3,0,3,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.2478,0.98,1,4,"Centro de ventas"
"Unadjusted prevalence",0.95,0.9732,0.98,1,4,"Planta de producción"
"Unadjusted prevalence",0.95,0.96,0.98,1,4,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.2598,0.3369,0,1,"Overall Population"
"Unadjusted prevalence",0.95,0.2368,0.3275,0,2,"Overall Population"
"Unadjusted prevalence",0.95,0.2231,0.2812,0,3,"Overall Population"
"Unadjusted prevalence",0.95,0.9552,0.9783,1,4,"Overall Population"
"Adjusted prevalence",0.95,0.1881,0.2749,0,1,"Overall Population"
"Adjusted prevalence",0.95,0.164,0.2663,0,2,"Overall Population"
"Adjusted prevalence",0.95,0.1467,0.2122,0,3,"Overall Population"
"Adjusted prevalence",0.95,0.972,0.9981,1,4,"Overall Population"
