"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|Hombre)",0.95,0.2675,0.3527,0,"1","Unadjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.2436,0.3369,0,"2","Unadjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.2314,0.2945,0,"3","Unadjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.9531,0.9786,1,"4","Unadjusted","IgG","dado que es hombre"
"P(IgG|Mujer)",0.95,0.1681,0.3744,0,"1","Unadjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.1274,0.3712,0,"2","Unadjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.1596,0.2832,0,"3","Unadjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.9302,0.975,1,"4","Unadjusted","IgG","dado que es mujer"
"P(IgG|Hombre)",0.95,0.1967,0.2928,0,"1","Adjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.1717,0.2769,0,"2","Adjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.156,0.2272,0,"3","Adjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.9697,0.9984,1,"4","Adjusted","IgG","dado que es hombre"
"P(IgG|Mujer)",0.95,0.0847,0.3173,0,"1","Adjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.0408,0.3155,0,"2","Adjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.075,0.2145,0,"3","Adjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.9439,0.9943,1,"4","Adjusted","IgG","dado que es mujer"
"P(Hombre)",0.95,0.8112,0.8679,1,"1","Unadjusted","Hombre","general"
"P(Hombre)",0.95,0.8491,0.9049,1,"2","Unadjusted","Hombre","general"
"P(Hombre)",0.95,0.7739,0.8254,1,"3","Unadjusted","Hombre","general"
"P(Hombre)",0.95,0.7466,0.8156,1,"4","Unadjusted","Hombre","general"
"P(IgG)",0.95,0.2659,0.3438,0,"1","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2429,0.3316,0,"2","Unadjusted","IgG","general"
