"CI","CI_low","CI_high","median","Ciclo","Edad_cat"
0.95,0.2652,0.3509,0,"1","Menores a 35"
0.95,0.3416,0.4317,0,"1","35 a 44"
0.95,0.2603,0.3419,0,"1","45 a 59"
0.95,3e-4,0.0107,0,"1","60 y más"
0.95,0.0805,0.3725,0,"2","Menores a 35"
0.95,0.1572,0.4698,0,"2","35 a 44"
0.95,0.2653,0.5784,0,"2","45 a 59"
0.95,0,0.2394,0,"2","60 y más"
0.95,0.2949,0.363,0,"3","Menores a 35"
0.95,0.3363,0.4084,0,"3","35 a 44"
0.95,0.266,0.3336,0,"3","45 a 59"
0.95,0,0.0043,0,"3","60 y más"
0.95,0.2526,0.3261,0,"4","Menores a 35"
0.95,0.3085,0.3835,0,"4","35 a 44"
0.95,0.3178,0.4004,0,"4","45 a 59"
0.95,0,0.0173,0,"4","60 y más"
