"CI","CI_low","CI_high","median","Ciclo","Edad_cat"
0.95,0.0579,0.2052,0,1,"Menores a 35"
0.95,0.2636,0.4187,0,1,"35 a 44"
0.95,0.1069,0.265,0,1,"45 a 59"
0.95,0.0809,0.8912,0,1,"60 y más"
0.95,0.0526,0.4675,0,2,"Menores a 35"
0.95,0.0812,0.5115,0,2,"35 a 44"
0.95,0.1938,0.5958,0,2,"45 a 59"
0.95,0.111,0.8769,0,2,"60 y más"
0.95,0.1194,0.2535,0,3,"Menores a 35"
0.95,0.1471,0.2651,0,3,"35 a 44"
0.95,0.0942,0.2192,0,3,"45 a 59"
0.95,0.1272,0.864,0,3,"60 y más"
0.95,0.9506,0.9948,1,4,"Menores a 35"
0.95,0.9514,0.9939,1,4,"35 a 44"
0.95,0.9583,0.9963,1,4,"45 a 59"
0.95,0.1087,0.8716,0,4,"60 y más"
