"CI","CI_low","CI_high","median","Ciclo","ICD_10"
0.95,0.0337,0.0999,0,"1","Acute Respiratory Illness"
0.95,0.7054,0.822,1,"1","COVID-19"
0.95,0.0055,0.0412,0,"1","Influenza"
0.95,0.073,0.1666,0,"1","Other related respiratory illnesses"
0.95,0.0065,0.0498,0,"1","Pneumonia"
0.95,0.0337,0.3458,0,"2","Acute Respiratory Illness"
0.95,0.3591,0.7312,1,"2","COVID-19"
0.95,0,0.2254,0,"2","Influenza"
0.95,0.0129,0.3044,0,"2","Other related respiratory illnesses"
0.95,0,0.2401,0,"2","Pneumonia"
0.95,0.0486,0.1169,0,"3","Acute Respiratory Illness"
0.95,0.7396,0.8392,1,"3","COVID-19"
0.95,0,0.0109,0,"3","Influenza"
0.95,0.0688,0.1444,0,"3","Other related respiratory illnesses"
0.95,0.005,0.0384,0,"3","Pneumonia"
0.95,0.038,0.11,0,"4","Acute Respiratory Illness"
0.95,0.7231,0.8331,1,"4","COVID-19"
0.95,7e-4,0.0342,0,"4","Influenza"
0.95,0.0536,0.1325,0,"4","Other related respiratory illnesses"
0.95,0.014,0.0653,0,"4","Pneumonia"
