"variable","CI_95%_low","Estimacion_puntual","CI_95%_high","Ciclo","strata"
"Media de edad",34.165335,35.671049999999994,37.1436025,1,"Centro de Distribución"
"Media de edad",37.2813575,38.091350000000006,38.9575525,1,"Centro de ventas"
"Media de edad",37.705487500000004,38.98905,40.131907500000004,1,"Planta de producción"
"Media de edad",35.218162500000005,37.3176,39.3900125,2,"Centro de Distribución"
"Media de edad",38.0876825,38.9752,39.837737499999996,2,"Centro de ventas"
"Media de edad",38.4074675,39.974199999999996,41.669135,2,"Planta de producción"
"Media de edad",37.522685,39.0272,40.5644075,3,"Centro de Distribución"
"Media de edad",37.58811,38.416,39.18873249999999,3,"Centro de ventas"
"Media de edad",38.8434975,39.840450000000004,40.80594249999999,3,"Planta de producción"
"Media de edad",37.005365,39.28855,41.613637499999996,4,"Centro de Distribución"
"Media de edad",39.2882,40.018,40.7344225,4,"Centro de ventas"
"Media de edad",38.5660625,39.90535,41.2602725,4,"Planta de producción"
