"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2844,0.378,0.326,"1","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2402,0.3332,0.2884,"2","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2066,0.28,0.2415,"3","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.1174,0.1845,0.1501,"4","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0288,0.0578,0.0433,"1","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0404,0.0702,0.0555,"2","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.034,0.0646,0.0475,"3","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0317,0.0645,0.0473,"4","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2844,0.378,0.326,"1","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2402,0.3332,0.2884,"2","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2066,0.28,0.2415,"3","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.1174,0.1845,0.1501,"4","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0288,0.0578,0.0433,"1","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0404,0.0702,0.0555,"2","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.034,0.0646,0.0475,"3","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0317,0.0645,0.0473,"4","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2974,0.3496,0.3232,"1","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2732,0.3218,0.2966,"2","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3491,0.4042,0.3777,"3","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3927,0.4529,0.4201,"4","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(ITT)",0.95,0.1161,0.155,0.1349,"1","Unadjusted","ITT","general"
"P(ITT)",0.95,0.1081,0.1439,0.1246,"2","Unadjusted","ITT","general"
"P(ITT)",0.95,0.1044,0.1395,0.1209,"3","Unadjusted","ITT","general"
"P(ITT)",0.95,0.0746,0.1092,0.0905,"4","Unadjusted","ITT","general"
"P(ITT)",0.95,0.1161,0.155,0.1349,"1","Adjusted","ITT","general"
"P(ITT)",0.95,0.1081,0.1439,0.1246,"2","Adjusted","ITT","general"
