"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.6282,0.7801,0.7055,"1","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.4737,0.6518,0.5669,"2","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.4574,0.6318,0.5451,"3","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.9056,0.9745,0.9478,"4","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.2482,0.2978,0.2732,"1","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.2188,0.269,0.2452,"2","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.2043,0.2532,0.2292,"3","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9723,0.9793,0.9767,"4","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.6033,0.7746,0.6906,"1","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.4292,0.6299,0.5343,"2","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.4108,0.6075,0.5097,"3","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.9162,0.9938,0.9636,"4","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.175,0.2309,0.2031,"1","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1418,0.1984,0.1715,"2","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1255,0.1806,0.1535,"3","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
