"variable","CI","CI_low","CI_high","median","semana"
"proportion_week[1]",0.95,7.5554,27.3853,16.2304,1
"proportion_week[2]",0.95,8.8515,28.3608,17.6435,2
"proportion_week[3]",0.95,7.9539,27.0285,15.8588,3
"proportion_week[4]",0.95,7.1598,27.5579,15.9087,4
"proportion_week[5]",0.95,7.4763,27.2995,15.8763,5
"proportion_week[6]",0.95,7.7198,27.3005,16.2891,6
"proportion_week[7]",0.95,8.2509,28.2822,17.6394,7
"proportion_week[8]",0.95,6.9174,26.8771,15.9386,8
"proportion_week[9]",0.95,7.6171,26.6523,15.5969,9
"proportion_week[10]",0.95,8.3302,29.9968,17.8735,10
"proportion_week[11]",0.95,9.4197,31.4735,19.4413,11
"proportion_week[12]",0.95,10.1876,32.0673,19.2056,12
"proportion_week[13]",0.95,12.4412,36.4532,23.2055,13
"proportion_week[14]",0.95,10.1945,33.0089,20.8297,14
"proportion_week[15]",0.95,7.3885,27.2583,16.095,15
"proportion_week[16]",0.95,16.1261,41.7667,27.995,16
"proportion_week[17]",0.95,12.7139,36.3579,23.6016,17
"proportion_week[18]",0.95,26.3655,60.8842,43.3318,18
"proportion_week[19]",0.95,28.458,62.1249,44.8407,19
"proportion_week[20]",0.95,36.2237,74.2837,52.2406,20
"proportion_week[21]",0.95,48.3861,91.2403,67.0197,21
"proportion_week[22]",0.95,33.6191,70.259,50.8608,22
"proportion_week[23]",0.95,43.7784,83.3531,62.6665,23
"proportion_week[24]",0.95,40.9896,78.0983,60.3219,24
"proportion_week[25]",0.95,38.74,75.5076,54.2862,25
"proportion_week[26]",0.95,26.3952,57.3917,41.1272,26
"proportion_week[27]",0.95,31.5253,64.8746,47.6093,27
"proportion_week[28]",0.95,25.2719,55.2771,39.8173,28
"proportion_week[29]",0.95,27.1605,56.896,41.2633,29
"proportion_week[30]",0.95,27.4603,60.5562,44.0524,30
"proportion_week[31]",0.95,23.5938,54.7462,36.9639,31
"proportion_week[32]",0.95,25.1434,58.9688,41.9955,32
"proportion_week[33]",0.95,25.014,57.1564,39.4039,33
"proportion_week[34]",0.95,25.9247,59.528,40.6639,34
"proportion_week[35]",0.95,33.3447,70.4385,50.7479,35
"proportion_week[36]",0.95,31.1775,65.3583,46.9667,36
"proportion_week[37]",0.95,19.5619,45.823,31.546,37
"proportion_week[38]",0.95,40.5053,79.2327,59.8031,38
"proportion_week[39]",0.95,28.6761,59.5387,41.67,39
"proportion_week[40]",0.95,33.8182,72.2581,51.0873,40
"proportion_week[41]",0.95,21.9544,54.3683,35.5954,41
"proportion_week[42]",0.95,26.5565,58.6613,41.6424,42
"proportion_week[43]",0.95,17.3593,44.2537,29.3626,43
"proportion_week[44]",0.95,27.4728,58.0473,42.4799,44
"proportion_week[45]",0.95,35.0535,67.3981,50.4869,45
"proportion_week[46]",0.95,21.0396,50.6084,33.9689,46
"proportion_week[47]",0.95,36.0002,72.1165,53.5057,47
"proportion_week[48]",0.95,42.823,81.3116,61.8153,48
"proportion_week[49]",0.95,43.1497,85.1663,63.7286,49
"proportion_week[50]",0.95,63.8648,109.8408,84.9118,50
"proportion_week[51]",0.95,64.6246,111.5452,87.8843,51
"proportion_week[52]",0.95,67.8326,116.0137,91.4195,52
"proportion_week[53]",0.95,78.6067,128.661,101.6687,53
"proportion_week[54]",0.95,130.4671,193.5103,160.7771,54
"proportion_week[55]",0.95,173.9533,241.2998,206.0148,55
