"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.5022,0.5985,0.5493,"1","Unadjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.3901,0.4894,0.4356,"2","Unadjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.2935,0.3773,0.3354,"3","Unadjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.9658,0.9793,0.9736,"4","Unadjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1818,0.2377,0.208,"1","Unadjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1793,0.2326,0.2036,"2","Unadjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1869,0.246,0.2135,"3","Unadjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.9667,0.979,0.9745,"4","Unadjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.4613,0.5699,0.5145,"1","Adjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.335,0.4469,0.3863,"2","Adjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.226,0.3205,0.2733,"3","Adjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.984,0.9992,0.9928,"4","Adjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1001,0.1631,0.1297,"1","Adjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
