"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|Vac)",0.95,0.7222,0.9799,0.9786,"4","Unadjusted","IgG","dado que está vacunado (al menos 1 dosis)"
"P(IgG|¬ Vac)",0.95,0.5567,0.9555,0.8833,"4","Unadjusted","IgG","dado que no está vacunado (al menos 1 dosis)"
"P(IgG|Vac)",0.95,0.7093,0.9999,0.9984,"4","Adjusted","IgG","dado que está vacunado (al menos 1 dosis)"
"P(IgG|¬ Vac)",0.95,0.5228,0.9723,0.891,"4","Adjusted","IgG","dado que no está vacunado (al menos 1 dosis)"
"P(Vac)",0.95,0.7205,0.9868,0.9801,"4","Unadjusted","Vacunado (al menos 1 dosis)","general"
"P(IgG)",0.95,0.6759,0.9791,0.9769,"4","Unadjusted","IgG","general"
"P(IgG)",0.95,0.6572,0.999,0.9965,"4","Adjusted","IgG","general"
"P(Vac|IgG)",0.95,0.7698,0.988,0.9816,"4","Unadjusted","Vacunado (al menos 1 dosis)","dado que tuvo IgG"
"P(Vac|¬ IgG)",0.95,0.5933,0.9587,0.887,"4","Unadjusted","Vacunado (al menos 1 dosis)","dado que no tuvo IgG"
"P(Vac|IgG)",0.95,0.7698,0.988,0.9816,"4","Adjusted","Vacunado (al menos 1 dosis)","dado que tuvo IgG"
"P(Vac|¬ IgG)",0.95,0.5933,0.9587,0.887,"4","Adjusted","Vacunado (al menos 1 dosis)","dado que no tuvo IgG"
