"CI","CI_low","CI_high","median","Ciclo","Edad_cat"
0.95,0.3289,0.383,0.3538,"1","Menores a 35"
0.95,0.3512,0.4055,0.3776,"1","35 a 44"
0.95,0.2452,0.2912,0.2661,"1","45 a 59"
0.95,2e-4,0.0042,0.0016,"1","60 y más"
0.95,0.3203,0.36870000000000003,0.3462,"2","Menores a 35"
0.95,0.3529,0.4061,0.3797,"2","35 a 44"
0.95,0.2456,0.2956,0.2714,"2","45 a 59"
0.95,5e-4,0.0055,0.0024,"2","60 y más"
0.95,0.3068,0.3588,0.3326,"3","Menores a 35"
0.95,0.3515,0.4043,0.3783,"3","35 a 44"
0.95,0.2645,0.3141,0.2879,"3","45 a 59"
0.95,0,0.0022,5e-4,"3","60 y más"
0.95,0.2818,0.326,0.3027,"4","Menores a 35"
0.95,0.3275,0.3741,0.35,"4","35 a 44"
0.95,0.3202,0.3668,0.3432,"4","45 a 59"
0.95,0.0012,0.0074,0.0039,"4","60 y más"
