"CI","CI_low","CI_high","median","Ciclo","Edad_cat"
0.95,0.161,0.2542,0.2049,1,"Menores a 35"
0.95,0.2485,0.3469,0.2983,1,"35 a 44"
0.95,0.1843,0.2994,0.2406,1,"45 a 59"
0.95,0.1099,0.8715,0.4975,1,"60 y más"
0.95,0.1305,0.2168,0.1721,2,"Menores a 35"
0.95,0.1767,0.2638,0.2172,2,"35 a 44"
0.95,0.1728,0.272,0.2186,2,"45 a 59"
0.95,0.0457,0.6957,0.3213,2,"60 y más"
0.95,0.1466,0.2406,0.1929,3,"Menores a 35"
0.95,0.1666,0.2536,0.209,3,"35 a 44"
0.95,0.1092,0.2029,0.1543,3,"45 a 59"
0.95,0.0848,0.8673,0.5136,3,"60 y más"
0.95,0.9828,0.9992,0.9922,4,"Menores a 35"
0.95,0.98,0.9977,0.9902,4,"35 a 44"
0.95,0.9873,0.9992,0.9948,4,"45 a 59"
0.95,0.3503,0.9669,0.7161,4,"60 y más"
