"CI","CI_low","CI_high","median","Ciclo","Edad_cat"
0.95,0.1658,0.2704,0.21560000000000001,1,"Hombre_Menores a 35"
0.95,0.264,0.3774,0.321,1,"Hombre_35 a 44"
0.95,0.1872,0.313,0.2508,1,"Hombre_45 a 59"
0.95,0.0902,0.8717,0.5024,1,"Hombre_60 y más"
0.95,0.0552,0.293,0.1676,1,"Mujer_Menores a 35"
0.95,0.10780000000000001,0.3289,0.2236,1,"Mujer_35 a 44"
0.95,0.0713,0.3942,0.1972,1,"Mujer_45 a 59"
0.95,0.1269,0.896,0.5039,1,"Mujer_60 y más"
0.95,0.1433,0.2506,0.1948,2,"Hombre_Menores a 35"
0.95,0.1716,0.2725,0.221,2,"Hombre_35 a 44"
0.95,0.1739,0.2914,0.2296,2,"Hombre_45 a 59"
0.95,0.0416,0.6716,0.338,2,"Hombre_60 y más"
0.95,0.0284,0.1703,0.0931,2,"Mujer_Menores a 35"
0.95,0.1172,0.3054,0.2099,2,"Mujer_35 a 44"
0.95,0.0881,0.3722,0.1968,2,"Mujer_45 a 59"
0.95,0.1403,0.9314,0.5052,2,"Mujer_60 y más"
0.95,0.1564,0.2745,0.2083,3,"Hombre_Menores a 35"
0.95,0.1584,0.26,0.2082,3,"Hombre_35 a 44"
0.95,0.1282,0.2264,0.1768,3,"Hombre_45 a 59"
0.95,0.1028,0.8969,0.4961,3,"Hombre_60 y más"
0.95,0.0677,0.2528,0.1589,3,"Mujer_Menores a 35"
0.95,0.1209,0.3116,0.217,3,"Mujer_35 a 44"
0.95,0.0091,0.169,0.0769,3,"Mujer_45 a 59"
0.95,0.0908,0.8528,0.5163,3,"Mujer_60 y más"
0.95,0.9771,0.9985,0.9895,4,"Hombre_Menores a 35"
0.95,0.976,0.9968,0.9879,4,"Hombre_35 a 44"
0.95,0.9857,0.9992,0.9941,4,"Hombre_45 a 59"
0.95,0.3286,0.9439,0.7004,4,"Hombre_60 y más"
0.95,0.9477,0.9973,0.9779,4,"Mujer_Menores a 35"
0.95,0.9427,0.9974,0.9745,4,"Mujer_35 a 44"
0.95,0.9028,0.9961,0.9612,4,"Mujer_45 a 59"
0.95,0.2133,0.9515,0.5433,4,"Mujer_60 y más"
