"CI","CI_low","CI_high","median","Ciclo","ICD_10"
0.95,0.0566,0.1044,0.0829,"1","Acute Respiratory Illness"
0.95,0.715,0.7902,0.7544,"1","COVID-19"
0.95,0.0047,0.0253,0.0139,"1","Influenza"
0.95,0.0996,0.1569,0.1286,"1","Other related respiratory illnesses"
0.95,0.0089,0.0325,0.0184,"1","Pneumonia"
0.95,0.0515,0.1039,0.0768,"2","Acute Respiratory Illness"
0.95,0.7465,0.832,0.7882,"2","COVID-19"
0.95,1e-4,0.0122,0.004,"2","Influenza"
0.95,0.0857,0.1482,0.1139,"2","Other related respiratory illnesses"
0.95,0.0047,0.0273,0.0143,"2","Pneumonia"
0.95,0.058,0.1082,0.0819,"3","Acute Respiratory Illness"
0.95,0.7419,0.8216,0.7836,"3","COVID-19"
0.95,0,0.0059,0.0011,"3","Influenza"
0.95,0.0862,0.1466,0.1146,"3","Other related respiratory illnesses"
0.95,0.0054,0.0301,0.0165,"3","Pneumonia"
0.95,0.0457,0.0886,0.0653,"4","Acute Respiratory Illness"
0.95,0.7827,0.8512,0.82,"4","COVID-19"
0.95,1e-4,0.0104,0.0036,"4","Influenza"
0.95,0.0582,0.1046,0.0794,"4","Other related respiratory illnesses"
0.95,0.0161,0.0453,0.0292,"4","Pneumonia"
