"variable","CI_95%_low","Estimacion_puntual","CI_95%_high","Ciclo","strata"
"Media de edad",35.7718675,36.940749999999994,38.1972,1,"Centro de Distribución"
"Media de edad",37.28989000000001,37.8605,38.4112175,1,"Centro de ventas"
"Media de edad",38.314035000000004,39.1723,40.0257725,1,"Planta de producción"
"Media de edad",35.6014475,36.8347,38.133995,2,"Centro de Distribución"
"Media de edad",38.028535,38.566950000000006,39.1382675,2,"Centro de ventas"
"Media de edad",37.17465,38.189350000000005,39.0970825,2,"Planta de producción"
"Media de edad",38.851015,40.25405,41.56023,3,"Centro de Distribución"
"Media de edad",37.7274675,38.314099999999996,38.91509249999999,3,"Centro de ventas"
"Media de edad",38.961015,39.7294,40.4913025,3,"Planta de producción"
"Media de edad",37.733025,39.5235,41.2941375,4,"Centro de Distribución"
"Media de edad",39.2525775,39.7846,40.275862499999995,4,"Centro de ventas"
"Media de edad",39.909769999999995,40.7351,41.5973275,4,"Planta de producción"
