"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2817,0.3943,0,"1","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2602,0.3702,0,"2","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2028,0.318,0,"3","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.1095,0.1893,0,"4","Unadjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0298,0.0679,0,"1","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0371,0.0731,0,"2","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0304,0.0741,0,"3","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0197,0.0573,0,"4","Unadjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2817,0.3943,0,"1","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2602,0.3702,0,"2","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.2028,0.318,0,"3","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|Tuvo Enfermedad Respiratoria)",0.95,0.1095,0.1893,0,"4","Adjusted","ITT","dado que tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0298,0.0679,0,"1","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0371,0.0731,0,"2","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0304,0.0741,0,"3","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(ITT|No tuvo Enfermedad Respiratoria)",0.95,0.0197,0.0573,0,"4","Adjusted","ITT","dado que no tuvo Enfermedad Respiratoria"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2921,0.3586,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2703,0.3335,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3016,0.3789,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3924,0.4656,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(ITT)",0.95,0.1188,0.1677,0,"1","Unadjusted","ITT","general"
"P(ITT)",0.95,0.1126,0.157,0,"2","Unadjusted","ITT","general"
"P(ITT)",0.95,0.0946,0.1467,0,"3","Unadjusted","ITT","general"
"P(ITT)",0.95,0.0659,0.1072,0,"4","Unadjusted","ITT","general"
"P(ITT)",0.95,0.1188,0.1677,0,"1","Adjusted","ITT","general"
"P(ITT)",0.95,0.1126,0.157,0,"2","Adjusted","ITT","general"
"P(ITT)",0.95,0.0946,0.1467,0,"3","Adjusted","ITT","general"
"P(ITT)",0.95,0.0659,0.1072,0,"4","Adjusted","ITT","general"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6927,0.8504,1,"1","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6283,0.7881,1,"2","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
"P(Tuvo Enfermedad Respiratoria|ITT)",0.95,0.6193,0.8184,1,"3","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo ITT"
