"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.6209,0.8098,1,"1","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.4367,0.6382,1,"2","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.4043,0.6697,1,"3","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.8692,0.9723,1,"4","Unadjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.255,0.3215,0,"1","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.2105,0.2723,0,"2","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.2086,0.2788,0,"3","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.9681,0.9797,1,"4","Unadjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.5952,0.8081,1,"1","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.3875,0.6146,0,"2","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.351,0.6502,0,"3","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|Tuvo Enfermedad Respiratoria e ITT)",0.95,0.8751,0.9913,1,"4","Adjusted","IgG","dado que Tuvo Enfermedad Respiratoria e ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1827,0.2577,0,"1","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1325,0.2021,0,"2","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
"P(IgG|No Tuvo Enfermedad Respiratoria ni ITT)",0.95,0.1303,0.2094,0,"3","Adjusted","IgG","dado que No Tuvo Enfermedad Respiratoria ni ITT"
