"variable","CI","CI_low","CI_high","median","semana"
"proportion_week[1]",0.95,8.2154,27.6096,16,1
"proportion_week[2]",0.95,8.2778,27.8409,16,2
"proportion_week[3]",0.95,6.9099,26.667,16,3
"proportion_week[4]",0.95,7.926,27.1059,16,4
"proportion_week[5]",0.95,6.9296,28.4893,16,5
"proportion_week[6]",0.95,7.519,26.8101,16,6
"proportion_week[7]",0.95,8.4635,28.3712,17,7
"proportion_week[8]",0.95,7.0149,27.4374,16,8
"proportion_week[9]",0.95,7.0181,25.776,16,9
"proportion_week[10]",0.95,8.2953,30.2906,18,10
"proportion_week[11]",0.95,6.8775,26.1687,16,11
"proportion_week[12]",0.95,9.3264,31.3725,19,12
"proportion_week[13]",0.95,9.5596,30.6037,19,13
"proportion_week[14]",0.95,8.9517,30.9728,19,14
"proportion_week[15]",0.95,7.6213,26.6919,16,15
"proportion_week[16]",0.95,11.477,34.9659,22,16
"proportion_week[17]",0.95,10.8224,31.6895,20,17
"proportion_week[18]",0.95,21.0339,53.0314,37,18
"proportion_week[19]",0.95,19.9213,46.8642,32,19
"proportion_week[20]",0.95,21.547,53.3616,37,20
"proportion_week[21]",0.95,31.7718,67.1742,48,21
"proportion_week[22]",0.95,20.1445,48.6814,33,22
"proportion_week[23]",0.95,30.1435,63.5107,46,23
"proportion_week[24]",0.95,31.8114,66.3739,48,24
"proportion_week[25]",0.95,30.232,65.3199,47,25
"proportion_week[26]",0.95,22.9213,51.2956,36,26
"proportion_week[27]",0.95,17.6624,47.2105,31,27
"proportion_week[28]",0.95,17.8644,45.6791,31,28
"proportion_week[29]",0.95,17.8778,44.9761,31,29
"proportion_week[30]",0.95,21.5639,52.3706,35,30
"proportion_week[31]",0.95,16.8719,45.5407,30,31
"proportion_week[32]",0.95,16.0574,43.7097,29,32
"proportion_week[33]",0.95,21.1197,51.4251,35,33
"proportion_week[34]",0.95,23.0494,50.8181,36,34
"proportion_week[35]",0.95,24.9731,54.6817,39,35
"proportion_week[36]",0.95,17.9796,47.062,32,36
"proportion_week[37]",0.95,14.6969,42.0905,27,37
"proportion_week[38]",0.95,31.0185,63.8483,47,38
"proportion_week[39]",0.95,19.8925,47.0736,32,39
"proportion_week[40]",0.95,24.6093,59.0014,40,40
"proportion_week[41]",0.95,21.724,49.7582,34,41
"proportion_week[42]",0.95,17.4406,45.2038,31,42
"proportion_week[43]",0.95,12.1637,36.3468,24,43
"proportion_week[44]",0.95,19.7243,46.1956,31,44
"proportion_week[45]",0.95,22.0075,52.8738,36,45
"proportion_week[46]",0.95,11.3949,32.7218,21,46
"proportion_week[47]",0.95,18.5182,47.2656,31,47
"proportion_week[48]",0.95,24.7305,54.4358,39,48
"proportion_week[49]",0.95,33.9407,70.912,52,49
"proportion_week[50]",0.95,49.8175,89.9459,66,50
"proportion_week[51]",0.95,41.4718,79.9171,60,51
"proportion_week[52]",0.95,42.7151,85.0152,63,52
"proportion_week[53]",0.95,50.3024,94.0225,72,53
"proportion_week[54]",0.95,74.2886,123.1403,96,54
"proportion_week[55]",0.95,82.8819,129.3979,106,55
"proportion_week[56]",0.95,64.2979,114.1515,89,56
"proportion_week[57]",0.95,26.7363,59.2445,41,57
"proportion_week[58]",0.95,30.3157,66.6082,49,58
"proportion_week[59]",0.95,32.1353,66.6518,49,59
"proportion_week[60]",0.95,17.4442,44.9469,31,60
"proportion_week[61]",0.95,28.4961,62.594,45,61
"proportion_week[62]",0.95,20.9281,49.4615,35,62
"proportion_week[63]",0.95,27.2888,60.6805,45,63
"proportion_week[64]",0.95,17.8332,45.1011,31,64
"proportion_week[65]",0.95,9.6416,29.971800000000002,19,65
"proportion_week[66]",0.95,9.7519,31.7879,20,66
"proportion_week[67]",0.95,10.27,31.5007,19,67
"proportion_week[68]",0.95,15.1335,40.0665,26,68
"proportion_week[69]",0.95,10.0642,32.1586,20,69
"proportion_week[70]",0.95,11.3019,33.8056,22,70
"proportion_week[71]",0.95,8.1835,26.5881,16,71
"proportion_week[72]",0.95,8.331,29.8999,18,72
"proportion_week[73]",0.95,12.184,36.8183,23,73
"proportion_week[74]",0.95,10.8304,35.1629,22,74
"proportion_week[75]",0.95,9.4799,33.9896,22,75
"proportion_week[76]",0.95,8.1101,27.4259,16,76
"proportion_week[77]",0.95,9.9281,31.5176,19,77
"proportion_week[78]",0.95,15.3501,41.2512,28,78
"proportion_week[79]",0.95,19.361,49.1707,34,79
"proportion_week[80]",0.95,13.6473,38.8984,26,80
"proportion_week[81]",0.95,19.1502,48.4242,32,81
