"variable","CI","CI_low","CI_high","median","Ciclo","workcenter"
"Adjusted prevalence",0.95,0.0951,0.277,0,1,"Centro de ventas"
"Adjusted prevalence",0.95,0.1974,0.2811,0,1,"Planta de producción"
"Adjusted prevalence",0.95,0.2941,0.4185,0,1,"Centro de Distribución"
"Adjusted prevalence",0.95,0.0962,0.2554,0,2,"Centro de ventas"
"Adjusted prevalence",0.95,0.1372,0.2091,0,2,"Planta de producción"
"Adjusted prevalence",0.95,0.2278,0.3358,0,2,"Centro de Distribución"
"Adjusted prevalence",0.95,0.0741,0.3026,0,3,"Centro de ventas"
"Adjusted prevalence",0.95,0.1465,0.2367,0,3,"Planta de producción"
"Adjusted prevalence",0.95,0.1755,0.3099,0,3,"Centro de Distribución"
"Adjusted prevalence",0.95,0.8589,0.9998,1,4,"Centro de ventas"
"Adjusted prevalence",0.95,0.9933,1,1,4,"Planta de producción"
"Adjusted prevalence",0.95,0.9873,1,1,4,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.1773,0.3387,0,1,"Centro de ventas"
"Unadjusted prevalence",0.95,0.2681,0.3423,0,1,"Planta de producción"
"Unadjusted prevalence",0.95,0.3539,0.4642,0,1,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.1783,0.3195,0,2,"Centro de ventas"
"Unadjusted prevalence",0.95,0.2147,0.2785,0,2,"Planta de producción"
"Unadjusted prevalence",0.95,0.295,0.3909,0,2,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.1587,0.3614,0,3,"Centro de ventas"
"Unadjusted prevalence",0.95,0.2229,0.303,0,3,"Planta de producción"
"Unadjusted prevalence",0.95,0.2487,0.3679,0,3,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.8549,0.9798,1,4,"Centro de ventas"
"Unadjusted prevalence",0.95,0.9741,0.98,1,4,"Planta de producción"
"Unadjusted prevalence",0.95,0.9688,0.98,1,4,"Centro de Distribución"
"Unadjusted prevalence",0.95,0.3024,0.3632,0,1,"Overall Population"
"Unadjusted prevalence",0.95,0.2521,0.3034,0,2,"Overall Population"
"Unadjusted prevalence",0.95,0.2409,0.3073,0,3,"Overall Population"
"Unadjusted prevalence",0.95,0.9719,0.9793,1,4,"Overall Population"
"Adjusted prevalence",0.95,0.2361,0.3046,0,1,"Overall Population"
"Adjusted prevalence",0.95,0.1793,0.2372,0,2,"Overall Population"
"Adjusted prevalence",0.95,0.1668,0.2416,0,3,"Overall Population"
"Adjusted prevalence",0.95,0.9908,0.9992,1,4,"Overall Population"
