"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.5061,0.6221,1,"1","Unadjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.3718,0.4853,0,"2","Unadjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.3001,0.422,0,"3","Unadjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.9595,0.9788,1,"4","Unadjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1889,0.2564,0,"1","Unadjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1695,0.2315,0,"2","Unadjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1825,0.2639,0,"3","Unadjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.961,0.979,1,"4","Unadjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.4658,0.5965,1,"1","Adjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.3143,0.4423,0,"2","Adjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.2334,0.3709,0,"3","Adjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|Tuvo Enfermedad Respiratoria)",0.95,0.9769,0.9987,1,"4","Adjusted","IgG","dado que tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1081,0.1842,0,"1","Adjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.0862,0.1561,0,"2","Adjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.1009,0.1926,0,"3","Adjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(IgG|No tuvo Enfermedad Respiratoria)",0.95,0.9786,0.9989,1,"4","Adjusted","IgG","dado que no tuvo Enfermedad Respiratoria"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2902,0.356,0,"1","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.2721,0.3342,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3026,0.3747,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(Tuvo Enfermedad Respiratoria)",0.95,0.3931,0.464,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria","general"
"P(IgG)",0.95,0.3008,0.3658,0,"1","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2413,0.2983,0,"2","Unadjusted","IgG","general"
"P(IgG)",0.95,0.237,0.3084,0,"3","Unadjusted","IgG","general"
"P(IgG)",0.95,0.9626,0.9766,1,"4","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2343,0.3076,0,"1","Adjusted","IgG","general"
"P(IgG)",0.95,0.1672,0.2315,0,"2","Adjusted","IgG","general"
"P(IgG)",0.95,0.1624,0.2429,0,"3","Adjusted","IgG","general"
"P(IgG)",0.95,0.9803,0.9962,1,"4","Adjusted","IgG","general"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.4947,0.6065,1,"1","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.4239,0.5489,0,"2","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.3789,0.5253,0,"3","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
"P(Tuvo Enfermedad Respiratoria|IgG)",0.95,0.3931,0.4639,0,"4","Unadjusted","Tuvo Enfermedad Respiratoria","dado que tuvo IgG"
