"variable","CI","CI_low","CI_high","median","Ciclo","Adjusted","conditional","negation"
"P(IgG|Hombre)",0.95,0.3111,0.3787,0,"1","Unadjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.2575,0.3174,0,"2","Unadjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.2471,0.3165,0,"3","Unadjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.9705,0.9792,1,"4","Unadjusted","IgG","dado que es hombre"
"P(IgG|Mujer)",0.95,0.1914,0.3591,0,"1","Unadjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.1895,0.3125,0,"2","Unadjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.1667,0.3218,0,"3","Unadjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.9486,0.9787,1,"4","Unadjusted","IgG","dado que es mujer"
"P(IgG|Hombre)",0.95,0.2459,0.3221,0,"1","Adjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.1854,0.253,0,"2","Adjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.1738,0.252,0,"3","Adjusted","IgG","dado que es hombre"
"P(IgG|Hombre)",0.95,0.9893,0.999,1,"4","Adjusted","IgG","dado que es hombre"
"P(IgG|Mujer)",0.95,0.1109,0.3,0,"1","Adjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.1088,0.2474,0,"2","Adjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.083,0.258,0,"3","Adjusted","IgG","dado que es mujer"
"P(IgG|Mujer)",0.95,0.9646,0.9986,1,"4","Adjusted","IgG","dado que es mujer"
"P(Hombre)",0.95,0.8347,0.8778,1,"1","Unadjusted","Hombre","general"
"P(Hombre)",0.95,0.7767,0.8214,1,"2","Unadjusted","Hombre","general"
"P(Hombre)",0.95,0.8098,0.8645,1,"3","Unadjusted","Hombre","general"
"P(Hombre)",0.95,0.8063,0.8511,1,"4","Unadjusted","Hombre","general"
"P(IgG)",0.95,0.3048,0.3679,0,"1","Unadjusted","IgG","general"
"P(IgG)",0.95,0.253,0.3058,0,"2","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2425,0.3064,0,"3","Unadjusted","IgG","general"
"P(IgG)",0.95,0.968,0.9775,1,"4","Unadjusted","IgG","general"
"P(IgG)",0.95,0.2388,0.3099,0,"1","Adjusted","IgG","general"
"P(IgG)",0.95,0.1804,0.2399,0,"2","Adjusted","IgG","general"
"P(IgG)",0.95,0.1686,0.2406,0,"3","Adjusted","IgG","general"
"P(IgG)",0.95,0.9865,0.9972,1,"4","Adjusted","IgG","general"
"P(Hombre|IgG)",0.95,0.8405,0.9172,1,"1","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.7795,0.871,1,"2","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8056,0.9038,1,"3","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|IgG)",0.95,0.8075,0.8519,1,"4","Unadjusted","Hombre","dado que tuvo IgG"
"P(Hombre|¬ IgG)",0.95,0.5089,0.9074,1,"1","Unadjusted","Hombre","dado que no tuvo IgG"
