"CI","CI_low","CI_high","median","Ciclo","Edad_cat"
0.95,0.19,0.2982,0,1,"Menores a 35"
0.95,0.2158,0.3342,0,1,"35 a 44"
0.95,0.2095,0.367,0,1,"45 a 59"
0.95,0.1028,0.8698,0,1,"60 y más"
0.95,0.1399,0.2389,0,2,"Menores a 35"
0.95,0.1658,0.2795,0,2,"35 a 44"
0.95,0.1247,0.2463,0,2,"45 a 59"
0.95,0.0337,0.6883,0,2,"60 y más"
0.95,0.1455,0.2805,0,3,"Menores a 35"
0.95,0.15,0.2785,0,3,"35 a 44"
0.95,0.0938,0.224,0,3,"45 a 59"
0.95,0.1273,0.886,1,3,"60 y más"
0.95,0.9746,0.998,1,4,"Menores a 35"
0.95,0.9758,0.9972,1,4,"35 a 44"
0.95,0.9804,0.9987,1,4,"45 a 59"
0.95,0.359,0.9662,1,4,"60 y más"
