"CI","CI_low","CI_high","median","Ciclo","Edad_cat"
0.95,0.1918,0.3114,0,1,"Hombre_Menores a 35"
0.95,0.2275,0.3597,0,1,"Hombre_35 a 44"
0.95,0.2287,0.3859,0,1,"Hombre_45 a 59"
0.95,0.1035,0.8936,0,1,"Hombre_60 y más"
0.95,0.0886,0.3872,0,1,"Mujer_Menores a 35"
0.95,0.0897,0.3537,0,1,"Mujer_35 a 44"
0.95,0.0979,0.4212,0,1,"Mujer_45 a 59"
0.95,0.1286,0.9105,0,1,"Mujer_60 y más"
0.95,0.1541,0.277,0,2,"Hombre_Menores a 35"
0.95,0.1553,0.2889,0,2,"Hombre_35 a 44"
0.95,0.147,0.2824,0,2,"Hombre_45 a 59"
0.95,0.0381,0.6885,0,2,"Hombre_60 y más"
0.95,0.0383,0.2174,0,2,"Mujer_Menores a 35"
0.95,0.1393,0.3697,0,2,"Mujer_35 a 44"
0.95,0.047,0.3207,0,2,"Mujer_45 a 59"
0.95,0.1121,0.9145,0,2,"Mujer_60 y más"
0.95,0.15,0.2901,0,3,"Hombre_Menores a 35"
0.95,0.1463,0.2794,0,3,"Hombre_35 a 44"
0.95,0.1098,0.2662,0,3,"Hombre_45 a 59"
0.95,0.1138,0.8783,1,3,"Hombre_60 y más"
0.95,0.1047,0.438,0,3,"Mujer_Menores a 35"
0.95,0.0968,0.4099,0,3,"Mujer_35 a 44"
0.95,0.0156,0.2218,0,3,"Mujer_45 a 59"
0.95,0.1371,0.8752,1,3,"Mujer_60 y más"
0.95,0.9633,0.9973,1,4,"Hombre_Menores a 35"
0.95,0.9708,0.9966,1,4,"Hombre_35 a 44"
0.95,0.979,0.9985,1,4,"Hombre_45 a 59"
0.95,0.3508,0.9555,1,4,"Hombre_60 y más"
0.95,0.9205,0.995,1,4,"Mujer_Menores a 35"
0.95,0.9083,0.9929,1,4,"Mujer_35 a 44"
0.95,0.8225,0.9918,1,4,"Mujer_45 a 59"
0.95,0.1987,0.9486,1,4,"Mujer_60 y más"
